code,location
65, Dream Land Aqua Park Stop 2
540,Ittihad Park Stop 1 / Sharjah
619,King Faisal St Al Estiqlal St Junction Stop 1
617,King Faisal Street Bridge Stop 2
616,King Faisal Street Maza Signal Junction Stop 1
618,King Faisal Street Sharjah Islamic Bank Stop 2
612,Maliha Rd 2nd Industrial Junction Area A Stop 2
610,Maliha Rd Baladiya Office GECO Junction Stop 2
609,Maliha Rd EDNOC Lubricant Stop 2
613,Maliha Rd J&P Junction Stop 2
615,Maliha Rd Maza Signal Junction Area A Stop 2
614,Malihad Rd Maza Signal Junction Area B Stop 2
686,National Paints Opposite Stop 1
707,Al Hamra Mall RAK Stop 2
708,Al Hamrah Ceramic Factory Stop 1
68,Ice land Water Park Stop 2 / RAK
560,Mina Al Arab RAK stop 1
70,RAK Bus Terminal Stop 1
69,RAK Traffic Department Stop 1/RAK
645,Al Khan Interchange stop 2
648,Al Wahda Street Carrefour Stop 1
647,Al Wahda Street MAX Stop 1
646,Al Wahda Street Post Office Stop 1
620,Ittihad Park Stop 1
695,Ajman - Car Souq Stop 1
692,Ajman - Ajman University Stop 1
691,Ajman - Khalifa Hospital Stop 1
693,Ajman - Traffic and Patrol Department Stop 1
48,Ajman City Center / Ajman stop 1
690,"Ajman-Sheikh Khalifa Bin Zayed Street,United Dis.1"
681,Ajman Al Bustan Bus Station
682,Ajman One Stop 1
687,"Ajman-Sheikh Khalifa Bin Zayed Street,AlMaya stop1"
683,Giant Supermarket Stop 2
684,Lulu Hypermarket Ajman Stop 2
720,Al Abeer Market Fujairah
714,Al Bitnah Stop 1
718,Choithrams Fujairah
713,Diftah Stop 1
715,Fujairah - Higher College of Technology
717,"Fujairah, Etisalat stop 1"
716,Khamis bin Matar Al-Kaabi Mosque
711,"Masafi, Friday Market Stop 1"
712,"Masafi, Police Station 1"
721,Mirbah - Sajidha Supermarket
722,Qidfa - Sajidha Electronics Trading
710,Thoban ENOC Petrol Station Stop 1
719,Vegetable Market Fujairah
741,7 Up Staff Accommodation 1
739,"Ahmadya Cont., Labour Camp 1"
743,Atlas Marine Service 1
746,Classic Crystal 1
679,Damascus Tawar Public Library Stop 1
728,Dubai Crown Plaza Stop 1
745,Electro Industrial Corporation 2
59,Jebel Ali Free Zone Gate 2/Dubai
734,Khaleej Times 1
742,"National Cement Corporation, Staff "
737,Oasis Village 1
738,"Quoz, AST Company 1"
732,"Quoz, Clinic 1"
730,"Quoz, Dubai Municipality Center 1"
731,"Quoz, Intersection"
733,"Quoz, J Mart Supermarket 1"
744,"Quoz, Jumbo Electronics Stores 1"
735,"Quoz, Latifa Bint Hamdan Street 1"
736,"Quoz, New Housing Junction 1"
729,"Safa, Intersection Stop 1"
769,Al Bitnah Stop 2
770,Diftah Stop 2
764,"Masafi, Friday Market Stop 2"
765,Thoban ENOC Petrol Station Stop 2
702,Al Ittihad Umm Al Quwain R/A Stop 1
704,Salma Market Umm Al Quwain Stop 1
703,Salma Police Station UAQ Stop 1
705,Umm al Quwain Industrial Area Stop 1
44,Al Arouba Street KM Trade Center Stop 2
637,Al Arouba Street Rolla Mall Stop 2
639,Al Mareija Street Al Meeen Houses Stop 1
638,Al Mareija Street Bank of Baroda Stop 1
640,Al Mareija Street Bank of Baroda Stop 2
634,Al Sharq Street ENOC Petrol Stop 1
635,Al Sharq Street Kuwaity Mosque Stop 2
76,Fujairah / Fujairah Bus Stop
77,Khorfakkan Bus Station / Khorfakkan
75,Masafi / RAK
698,Ajman City Center / Ajman stop 2
700,"Ajman-Sheikh Khalifa Bin Zayed Street, McDonald 1"
699,"Ajman-Sheikh Khalifa Bin Zayed Street,DANA Mall 1"
632,Al Sharq Street ADNOC Petrol 2
630,Al Sharq Street Al Quds Cultural Institute Stop 1
631,Al Sharq Street Heirah Police Station Stop 1
629,Al Sharq Street Police Academy stop 2
701,"Ajman-Sheikh Khalifa Bin Zayed Street,Karachi DB 1"
628,Al Sharq Street Ajman Mosque Stop 2
78,Shahama Bus Stop/ Abu dhabi
